epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,509.52,0.69069,0.46438,0.95976,0.88538,0.97608,0.94922,0.73212,0.87213,0.49889,1.16643,0.0002713,0.0002713,0.0002713
67,517.257,0.67398,0.45255,0.94957,0.90532,0.97929,0.94538,0.72801,0.85862,0.49436,1.17107,0.00026932,0.00026932,0.00026932
68,524.946,0.67365,0.44933,0.95353,0.92278,0.95038,0.97142,0.7251,0.89173,0.68829,1.11753,0.00026734,0.00026734,0.00026734
69,532.617,0.6791,0.44885,0.95368,0.87465,0.975,0.95969,0.73687,0.92608,0.56139,1.20106,0.00026536,0.00026536,0.00026536
70,540.298,0.66227,0.4451,0.9436,0.87742,0.95862,0.94587,0.7287,0.86743,0.57445,1.14986,0.00026338,0.00026338,0.00026338
71,547.959,0.66398,0.44672,0.9488,0.85135,0.93764,0.95799,0.72744,0.93611,0.66735,1.19779,0.0002614,0.0002614,0.0002614
72,555.618,0.66929,0.44139,0.94647,0.90101,0.954,0.96582,0.74111,0.87966,0.55032,1.09193,0.00025942,0.00025942,0.00025942
73,563.323,0.66607,0.43969,0.94521,0.92367,0.93094,0.95629,0.73808,0.87398,0.76077,1.14487,0.00025744,0.00025744,0.00025744
74,571.062,0.65948,0.43662,0.94621,0.89337,0.95108,0.94006,0.70855,0.86345,0.71537,1.10379,0.00025546,0.00025546,0.00025546
75,578.822,0.65531,0.43466,0.94563,0.89948,0.93532,0.94678,0.73254,0.81108,0.69901,1.09471,0.00025348,0.00025348,0.00025348
76,586.565,0.64792,0.42416,0.94076,0.92461,0.9581,0.92856,0.72044,0.84125,0.96943,1.10803,0.0002515,0.0002515,0.0002515
77,594.188,0.65358,0.43676,0.94467,0.87383,0.97419,0.95227,0.75122,0.79658,0.53838,1.12526,0.00024952,0.00024952,0.00024952
78,601.94,0.66004,0.42805,0.94401,0.88062,0.98462,0.94417,0.72589,0.79654,0.488,1.13257,0.00024754,0.00024754,0.00024754
79,609.646,0.64194,0.43217,0.93517,0.88292,0.9455,0.95364,0.73118,0.89078,0.92413,1.15841,0.00024556,0.00024556,0.00024556
80,617.363,0.65926,0.43065,0.94502,0.8625,0.96439,0.94164,0.72692,0.87639,0.60281,1.16856,0.00024358,0.00024358,0.00024358
81,625.082,0.64442,0.42469,0.94144,0.87867,0.96923,0.93697,0.71112,0.90413,0.66103,1.19219,0.0002416,0.0002416,0.0002416
82,632.734,0.63405,0.41766,0.937,0.89629,0.94268,0.95101,0.72986,0.90729,0.76188,1.20332,0.00023962,0.00023962,0.00023962
83,640.48,0.6396,0.41633,0.93778,0.91076,0.95691,0.96596,0.75187,0.88092,0.54697,1.1036,0.00023764,0.00023764,0.00023764
84,648.19,0.63305,0.42147,0.94039,0.80396,0.97095,0.94858,0.72113,0.9926,0.73073,1.23635,0.00023566,0.00023566,0.00023566
85,656.138,0.63004,0.4122,0.93187,0.88303,0.9725,0.94036,0.72675,0.98386,0.70828,1.25662,0.00023368,0.00023368,0.00023368
86,663.821,0.63413,0.41605,0.93629,0.89223,0.93797,0.93165,0.71173,0.88575,1.15123,1.1802,0.0002317,0.0002317,0.0002317
87,671.557,0.62738,0.40903,0.9318,0.91236,0.9448,0.93035,0.70454,0.9108,1.20404,1.19755,0.00022972,0.00022972,0.00022972
